Province,Venue Name,Venue Category,Venue Lat,Venue Long,Address
Metro Manila,A-Venue,Shopping Plaza,14.566348,121.029846,Makati
Metro Manila,A-Venue,Bar,14.566239,121.029631,
Metro Manila,Cowboy Grill,Music Venue,14.57832,120.980635,"A. Mabini Corner Arquiza Street (Arquiza st), 1000 Maynila, City of Manila"
Metro Manila,Peta Theater Center,Music Venue,14.624319,121.026294,"Street Peter Julian Eymard Drive, 1112 Quezon City, Quezon City"
Metro Manila,70's Bistro,Rock Club,14.63065,121.061519,"46 Anonas Street, 1102 Quezon City, Quezon City"
Metro Manila,Love One Another Sound Production,Music Venue,14.58319,121.077573,"2/F, FRDC Building (106 E. Rodriguez Avenue (C5/Libis)), Pasig, Pasig"
Metro Manila,Philippine International Convention Center,Convention Center,14.554414,120.98319,"CCP Complex, Roxas Boulevard, 1307 Pasay, Pasay City"
Metro Manila,Monkey Mic Family KTV,Music Venue,14.672819,121.062205,3Lot 8 Congressional Avenue
Metro Manila,The PICC Forum,Business and Professional Services,14.555209,120.984351,"Roxas Boulevard, Pasay, Pasay City"
Metro Manila,Sky Dome,Amphitheater,14.65575,121.031423,"Sky Garden, SM City North EDSA Complex (btwn Epifanio delos Santos Ave. & North Ave.), 1105 Quezon City, Quezon City"
Cebu,Open Mic,Karaoke Bar,10.305048,123.876834,"6000 Cebu City, Cebu"
Cebu,D' Voice KTV & Grill,Music Venue,10.31327,123.880007,"R. Duterte Street, 6000 Cebu City, Cebu"
Cebu,Music One,Karaoke Bar,10.328621,123.906038,"Cebu IT Park, 6000 Cebu City, Cebu"
Cebu,LIV Superclub,Music Venue,10.315519,123.885609,"6000 Cebu City, Cebu"
Cebu,Two Mango,Music Venue,10.310016,123.895643,"Gen. Maxilom Avenue, 6000 Cebu City, Cebu"
Cebu,UP Serenata,Music Venue,10.321818,123.899151,"Gorordo Avenue, Lahug, 6000 Cebu City, Cebu"
Cebu,Zzubu Recording Studio,Concert Hall,10.318393,123.90125,
Cebu,"CAP Arts Center, Osmeña Blvd",Performing Arts Venue,10.30664,123.893734,6000 Cebu City
Cebu,Kalye Musika Recording Studio,Music Venue,10.31088,123.881368,
Cebu,Center For Pop,Music School,10.311312,123.901524,"Gen. Maxilom Avenue, 6000 Cebu City"
Cavite,Cowboy Grill,Music Venue,14.57832,120.980635,"A. Mabini Corner Arquiza Street (Arquiza st), 1000 Maynila, City of Manila"
Cavite,Philippine International Convention Center,Convention Center,14.554414,120.98319,"CCP Complex, Roxas Boulevard, 1307 Pasay, Pasay City"
Cavite,Peta Theater Center,Music Venue,14.624319,121.026294,"Street Peter Julian Eymard Drive, 1112 Quezon City, Quezon City"
Cavite,70's Bistro,Rock Club,14.63065,121.061519,"46 Anonas Street, 1102 Quezon City, Quezon City"
Cavite,Love One Another Sound Production,Music Venue,14.58319,121.077573,"2/F, FRDC Building (106 E. Rodriguez Avenue (C5/Libis)), Pasig, Pasig"
Cavite,Music 21 Plaza,Karaoke Bar,14.427969,121.023317,"N T Center, Alabang - Zapote Road, Muntinlupa, Rizal"
Cavite,Air Force One Digital KTV,Karaoke Bar,14.492175,120.99183,"Ninoy Aquino Avenue, Paranaque"
Cavite,The PICC Forum,Business and Professional Services,14.555209,120.984351,"Roxas Boulevard, Pasay, Pasay City"
Cavite,Monkey Mic Family KTV,Music Venue,14.672819,121.062205,3Lot 8 Congressional Avenue
Cavite,Cherry Studios,Music Venue,14.454262,121.030441,"Presidents Avenue, 1720 Paranaque"
Bulacan,The Venue,Event Space,15.052556,120.696877,3017 Bulacan
Bulacan,Ignite Recording Studio,Music Venue,14.874814,120.797111,
Bulacan,Bulacan Kalinangan,Performing Arts Venue,14.8322,120.8181,"3000 Malolos, Bulacan"
Bulacan,Banda 31 Original of Sta. Maria Bulacan Inc. Rehearsal Hall,Music Venue,14.817487,120.966056,"3022 Santa, Bulacan"
Bulacan,Sr. Pedro Videoke Hub,Music Venue,14.720178,121.052631,"Commonwealth Avenue, Quezon City, Quezon City"
Bulacan,Khub,Music Venue,14.754507,120.955589,"SM City Marilao, MacArthur Hwy, 3019 Marilao, Bulacan"
Bulacan,RG Sisig,Music Venue,14.741886,120.957053,"Meycauayan, Bulacan"
Bulacan,K-Hub,Music Venue,14.753603,120.976314,"3019 Marilao, Bulacan"
Bulacan,Tom's Grill,Music Venue,15.052265,120.700065,"2000 Lungsod ng San Fernando, Pampanga"
Bulacan,Center for Pop Music,Performing Arts Venue,15.044622,120.687895,"Gapan-San Fernando-Olongapo Road (Jose Abad Santos Ave., Dolores,), 2000 Lungsod ng San Fernando, Pampanga"
Laguna,Venue,Arts and Entertainment,14.197227,121.162087,"National Highway, 4027 Calamba"
Laguna,Bertito's Anyhaw Restaurant,Beer Garden,14.198069,121.161253,"National Highway, 4027 Calamba, Laguna"
Laguna,Lyrics and Tidbits,Music Venue,14.265843,121.425841,"4009 Santa, Laguna"
Laguna,Highscore Ktv,Music Venue,14.087165,121.309089,"4000 San Pablo City, Laguna"
Laguna,Uno Cinco Music Studio,Music Venue,14.243137,121.113432,"4026 Cabuyao, Laguna"
Laguna,Center for pop,Music Venue,14.289,121.108319,Laguna
Laguna,Eldar's Tent,Performing Arts Venue,14.282086,121.094473,"2703 Santa, Laguna"
Laguna,Hulo,Jazz and Blues Venue,14.512763,121.236206,"1960 Morong, Rizal"
Laguna,Lazer Music,Music Venue,14.203461,121.155005,"Calamba, City of Manila"
Laguna,National Arts Center,Music Venue,14.163132,121.215743,"Ibarang Road, Los Baños"
Rizal,The Venue,Other Great Outdoors,14.614474,121.120709,
Rizal,The Big Tent Venue,Rest Area,14.685582,121.075426,"Holy Spirit Drv., Quezon City, Quezon City"
Rizal,Cowboy Grill,Music Venue,14.57832,120.980635,"A. Mabini Corner Arquiza Street (Arquiza st), 1000 Maynila, City of Manila"
Rizal,70's Bistro,Rock Club,14.63065,121.061519,"46 Anonas Street, 1102 Quezon City, Quezon City"
Rizal,Love One Another Sound Production,Music Venue,14.58319,121.077573,"2/F, FRDC Building (106 E. Rodriguez Avenue (C5/Libis)), Pasig, Pasig"
Rizal,Peta Theater Center,Music Venue,14.624319,121.026294,"Street Peter Julian Eymard Drive, 1112 Quezon City, Quezon City"
Rizal,Monkey Mic Family KTV,Music Venue,14.672819,121.062205,3Lot 8 Congressional Avenue
Rizal,Philippine International Convention Center,Convention Center,14.554414,120.98319,"CCP Complex, Roxas Boulevard, 1307 Pasay, Pasay City"
Rizal,The PICC Forum,Business and Professional Services,14.555209,120.984351,"Roxas Boulevard, Pasay, Pasay City"
Rizal,Music 21 Plaza,Karaoke Bar,14.427969,121.023317,"N T Center, Alabang - Zapote Road, Muntinlupa, Rizal"
Pangasinan,Fastline Disco Club,Music Venue,15.967792,120.57279,"2428 Urdaneta, Pangasinan"
Pangasinan,Urdaneta Cultural Center and Sports Complex,Convention Center,15.975249,120.564547,"Alexander Street, 2428 Urdaneta, Pangasinan"
Pangasinan,Virgen Milagrosa University Foundation Centrum Social Hall,Theater,15.918925,120.34025,"DriveMartin P. Posadas Avenue (Dr.Martin P. Posadas Avenue), 2420 San Carlos, Pangasinan"
Pangasinan,Musicians Corner Music Store and Music School,Rock Club,16.040026,120.334147,
Pangasinan,PUNP Convention Center,Convention Center,15.986959,120.571568,"2428 Urdaneta, Pangasinan"
Batangas,Provincial Auditor,Performing Arts Venue,13.76604,121.063853,4200 Batangas
Batangas,"SM Event Center, SM Batangas",Performing Arts Venue,13.755799,121.068235,"4200 Batangas, Batangas"
Batangas,MUSIC area,Music Venue,13.772122,121.047611,Genesis st.
Batangas,Mgm grand arena,Performing Arts Venue,13.801685,121.102496,
Batangas,The Event Centre,Music Venue,13.940567,121.129973,
Batangas,Jazz do it,Jazz and Blues Venue,13.941113,121.162712,"C. M. Recto Avenue, 4217 Lipa, Batangas"
Batangas,Kabeer Restaurant And Music Lounge,Middle Eastern Restaurant,13.753066,121.068332,"Q339+689, M. Pastor Avenue, 4200 Batangas, Batangas"
Batangas,J's Dance Studio,Dance Studio,13.75644,121.057018,"4200 Batangas, Batangas"
Batangas,Patio Alfonso resort And Restaurant,Swimming Pool,13.79207,121.07541,"Batangas-Ibaan National Highway, 4200 Batangas, Batangas"
Batangas,UB Culture and Arts Building,Theater,13.760437,121.062222,"Hilltop Road, 4200 Batangas"
Pampanga,The Venue,Event Space,15.052556,120.696877,3017 Bulacan
Pampanga,Wishing Well,Karaoke Bar,15.160247,120.592529,"S Rivera Lim Avenue (Balibago), 2009 Angeles, Pampanga"
Pampanga,The Music Studio,Performing Arts Venue,15.045868,120.671262,"Jomafer Building, 2000 San Fernando"
Pampanga,Center for Pop Music,Performing Arts Venue,15.044622,120.687895,"Gapan-San Fernando-Olongapo Road (Jose Abad Santos Ave., Dolores,), 2000 Lungsod ng San Fernando, Pampanga"
Pampanga,Tom's Grill,Music Venue,15.052265,120.700065,"2000 Lungsod ng San Fernando, Pampanga"
Pampanga,Macs,Jazz and Blues Venue,15.125947,120.589868,
Pampanga,apl.de.ap Music Studio & Library,Concert Hall,15.132992,120.59023,
Pampanga,Rock and Republic Music Studio,Music Venue,15.134638,120.587326,"2009 Angeles, Pampanga"
Pampanga,JMT music School,Music Venue,15.14725,120.595804,"146 Don Pepe Street, 2009 Angeles, Pampanga"
Pampanga,Crescendo,Music Venue,15.163094,120.610145,"Marquee Mall, Aniceto Gueco Street"
Davao del Sur,Matina Town Square,Church,7.063898,125.596484,"McArthur Highway, 8000 Lungsod ng Dabaw"
Davao del Sur,iSing KTV,Music Venue,6.951334,125.470792,
Davao del Sur,Sound Avenue,Music Venue,7.062348,125.570116,8000 Davao City
Davao del Sur,Taproom Piano,Jazz and Blues Venue,7.066026,125.582555,
Davao del Sur,RSM Events Center,Performing Arts Venue,7.053885,125.594327,"University Street, 8000 Davao City"
Davao del Sur,Station 9 Times Beach,Music Venue,7.0444,125.592732,
Davao del Sur,Chords n Bass Family KTV,Music Venue,7.070612,125.605593,
Davao del Sur,Darnz Cafe & Bar,Music Venue,7.066658,125.607921,"Mabini Street, 8000 Davao City"
Davao del Sur,Zed KTV,Music Venue,7.068704,125.608347,
Davao del Sur,Polyfusion Recording Studio,Recording Studio,7.068419,125.608912,"Valrose Building, Queens Theater, Bonifacio Street, 8000 Davao City"
Nueva Ecija,Switzerland,Music Venue,15.486508,120.97355,
Nueva Ecija,Dr. Sound Recording Studio,Music Venue,15.486683,120.967412,"Gen. Tinio St., 3100 Cabanatuan"
Nueva Ecija,CLSU Auditorium,Amphitheater,15.737655,120.929456,"Muñoz Nueva Ecija, 3119 Munoz, Nueva Ecija"
Nueva Ecija,Belle's Catering at Sa Lumang Bahay- Garden Venue,Restaurant,15.507833,120.961991,"Maharlika Highway, 3100 Cabanatuan, Nueva Ecija"
Camarines Sur,Alfonso's Store,Grocery Store,13.622742,123.191177,"58 Bonifacio Street, 4400 Naga"
Camarines Sur,Wharf Galley,Music Venue,13.626781,123.187026,"Elias Angeles Street, 4400 Naga"
Camarines Sur,UNC Social Hall,Theater,13.625076,123.369526,
Camarines Sur,"The Tent, Avenue Plaza Hotel",Concert Hall,13.632632,123.197244,"Magsaysay Avenue, 4400 Naga"
Camarines Sur,Ateneo's Covered Court,Concert Hall,13.632216,123.184941,
Camarines Sur,Jesse M. Robredo Coliseum,Basketball Court,13.620311,123.188548,4400 Naga
Camarines Sur,Wharfgalley Rockcafe,Rock Club,13.632338,123.196185,"Magsaysay Avenue, 4400 Naga, Naga, Camarines Sur"
Camarines Sur,Wharf Galley,Rock Club,13.632323,123.196119,"Magsaysay Avenue, 4400 Naga"
Misamis Oriental,Galam Music Lounge,Music Venue,8.481684,124.629014,"Corner serina - villarin Street (carmen), Lungsod ng Cagayan de Oro, Misamis Oriental"
Misamis Oriental,Capitol Kiosk,Music Venue,8.486278,124.64794,"Lungsod ng Cagayan de Oro, Misamis Oriental"
Misamis Oriental,Light Cafe & KTV,Music Venue,8.478528,124.653832,"9000 Lungsod ng Cagayan de Oro, Misamis Oriental"
Misamis Oriental,Star Entertainment,Jazz and Blues Venue,8.483702,124.645873,"Lungsod ng Cagayan de Oro, Misamis Oriental"
Misamis Oriental,Mellow Touch 95.7FM,Music Venue,8.48083,124.647695,"TS Midpoint Hub, Corrales Avenue, 9000 Lungsod ng Cagayan de Oro, Misamis Oriental"
Misamis Oriental,Grei'z Music Lounge,Music Venue,8.476862,124.645264,"Lungsod ng Cagayan de Oro, Misamis Oriental"
Misamis Oriental,Grei'z Music Lounge,Music Venue,8.47699,124.644696,"Lungsod ng Cagayan de Oro, Misamis Oriental"
Misamis Oriental,"Charts Family KTV, Grand Central",Music Venue,8.47629,124.644511,
Misamis Oriental,Quantum SM- CDO,Music Venue,8.456006,124.623911,Cagayan de Oro
Misamis Oriental,SM City Event Center,Performing Arts Venue,8.456057,124.623867,
South Cotabato,South Cotabato Gym and Cultural Center,Music Venue,6.497496,124.840641,"Rafael Alunan Avenue, 9506 Koronadal, South Cotabato"
Maguindanao,4M,Music Venue,7.219965,124.251221,"Notre Dame Avenue, 9600 Cotabato City"
Maguindanao,Simuay Function Hall,Performing Arts Venue,7.273898,124.312454,"Sultan Kudarat, Maguindanao"
Maguindanao,Shariff Kabunsuan Cultural Complex,Theater,7.196371,124.246248,9600 Cotabato City
Maguindanao,"Fuel Point Videoke, Awang, DOS, Maguindanao",Concert Hall,7.158194,124.222953,Danao
Bukidnon,Galam Music Lounge,Music Venue,8.481684,124.629014,"Corner serina - villarin Street (carmen), Lungsod ng Cagayan de Oro, Misamis Oriental"
Bukidnon,Light Cafe & KTV,Music Venue,8.478528,124.653832,"9000 Lungsod ng Cagayan de Oro, Misamis Oriental"
Bukidnon,Mellow Touch 95.7FM,Music Venue,8.48083,124.647695,"TS Midpoint Hub, Corrales Avenue, 9000 Lungsod ng Cagayan de Oro, Misamis Oriental"
Bukidnon,Grei'z Music Lounge,Music Venue,8.476862,124.645264,"Lungsod ng Cagayan de Oro, Misamis Oriental"
Bukidnon,"Charts Family KTV, Grand Central",Music Venue,8.47629,124.644511,
Bukidnon,Grei'z Music Lounge,Music Venue,8.47699,124.644696,"Lungsod ng Cagayan de Oro, Misamis Oriental"
Bukidnon,Capitol Kiosk,Music Venue,8.486278,124.64794,"Lungsod ng Cagayan de Oro, Misamis Oriental"
Bukidnon,Star Entertainment,Jazz and Blues Venue,8.483702,124.645873,"Lungsod ng Cagayan de Oro, Misamis Oriental"
Bukidnon,Quantum SM- CDO,Music Venue,8.456006,124.623911,Cagayan de Oro
Bukidnon,SM City Event Center,Performing Arts Venue,8.456057,124.623867,
Tarlac,Yamaha School Of Music,Motorcycle Dealership,15.48271,120.59573,"McArthur Highway, Tarlac City, Tarlac"
Tarlac,SoundKraft Snackbar and Music Studio,Music Venue,15.493934,120.594698,"819 F. Tanedo Street (Blk 1 San Nicolas), 2300 Tarlac City, Tarlac"
Tarlac,Live Bistro II Events Venue & Resto Bar,Bistro,15.490084,120.584233,
Cotabato,4M,Music Venue,7.219965,124.251221,"Notre Dame Avenue, 9600 Cotabato City"
Cotabato,Simuay Function Hall,Performing Arts Venue,7.273898,124.312454,"Sultan Kudarat, Maguindanao"
Cotabato,Shariff Kabunsuan Cultural Complex,Theater,7.196371,124.246248,9600 Cotabato City
Cotabato,"Fuel Point Videoke, Awang, DOS, Maguindanao",Concert Hall,7.158194,124.222953,Danao
Bohol,Doy's KTV,Music Venue,9.671415,123.857656,"66 J. Borja Street, 6300 Tagbilaran, Bohol"
Bohol,Herliz Music Studio & Instruments,Music Venue,9.653153,123.867276,"6300 Tagbilaran, Bohol"
Bohol,Soundworks Recording Studio,Performing Arts Venue,9.641159,123.85548,Disco Record Center
Bohol,Bohol Cultural Center,Theater,9.648255,123.855206,
Albay,Ok Fm 97.1,Music Venue,13.141371,123.751699,"Rizal Street, Legazpi, Legaspi City"
Albay,Albay Astrodome,Stadium,13.139868,123.734972,"Capt F. Aquende Drive, Legazpi, Legaspi City"
Albay,Albay Theatre,Event Space,13.154112,123.752025,"Legazpi, Legaspi City"
Albay,Concourse,Concert Hall,13.14928,123.754548,
Albay,D'Venue,Bar,13.322809,123.505201,"30, San Juan Street, 4506 Polangui"
Palawan,The Venue,Event Space,9.766938,118.743537,"5301 Puerto Princesa, Palawan"
Palawan,PSU Gymnasium,Performing Arts Venue,9.778908,118.732937,5300 Puerto Princesa
Palawan,Kweba Resto Bar,Bar,9.740028,118.740306,"Rizal Avenue, 5300 Puerto Princesa, Palawan"
Lanao del Sur,Star Venue,Café,8.007252,124.284769,Beside MSU Gymnasium
Davao del Norte,La Corda di Fede Music Academy,Private School,7.446573,125.802176,"Arellano Street, 8100 Tagum, Davao del Norte"
Davao del Norte,D'VENUE car wash & foam wash,Car Wash and Detail,7.444014,125.80507,"Magsaysay Street corner Osmeña Street, 8100 Tagum"
Zamboanga del Norte,ZPOL Music Lounge,Music Venue,8.570902,123.342343,"7100 Dipolog, Zamboanga del Norte"
Zamboanga del Norte,Song Hits! Family KTV,Music Venue,8.58627,123.337033,"Boulevard Commercial Complex, Boulevard Avenue, 7100 Dipolog, Zamboanga del Norte"
Zamboanga del Norte,D'bass District,Beer Bar,8.586676,123.33704,"Dipolog, Zamboanga del Norte"
Zamboanga del Norte,Dapitan City Plaza,Plaza,8.640138,123.422589,"Fr Sanchez St, 7101 Dapitan"
Bataan,Sari Gamit Covered Court,Performing Arts Venue,14.677142,120.530483,
Bataan,Blue Room Recording Studio,Music Venue,14.663056,120.543439,"12, Naval Extension (Fourth Street, Cupang Proper), 2100 Balanga, Bataan"
Bataan,Pamana Ville,Concert Hall,14.669947,120.543458,2100 Balanga
Benguet,"Center For Culture And The Arts, Saint Louis University",Performing Arts Venue,16.417812,120.597541,
Benguet,St. Louis University CCA,Performing Arts Venue,16.417524,120.597222,2600 Baguio
Benguet,Dampa sa Baguio,Music Venue,16.405484,120.593505,"Baguio City Leagarda Road, 2600 Baguio"
Benguet,Kafeeklatsch,Music Venue,16.394061,120.604926,
Benguet,Baguio Convention Center,Convention Center,16.404531,120.599754,"Governor Pack Road, 2600 Baguio"
Benguet,Gimbal's,Music Venue,16.411753,120.590398,"CNR Legarda Road & Cariño Street, 2600 Baguio"
Benguet,CCA Theater,Theater,16.417733,120.597541,
Benguet,Camp John Hay Amphitheatre,Amphitheater,16.3991,120.617599,"2600 Lungsod ng Baguio, Baguio City"
Benguet,Bell Ampitheater,Amphitheater,16.399017,120.617873,"2600 Lungsod ng Baguio, Baguio City"
La Union,J1,Music Venue,16.615558,120.316779,"2500 San Fernando, La Union"
La Union,St. Louis University CCA,Performing Arts Venue,16.417524,120.597222,2600 Baguio
La Union,"Center For Culture And The Arts, Saint Louis University",Performing Arts Venue,16.417812,120.597541,
La Union,Dampa sa Baguio,Music Venue,16.405484,120.593505,"Baguio City Leagarda Road, 2600 Baguio"
La Union,Kafeeklatsch,Music Venue,16.394061,120.604926,
La Union,Baguio Convention Center,Convention Center,16.404531,120.599754,"Governor Pack Road, 2600 Baguio"
La Union,Gimbal's,Music Venue,16.411753,120.590398,"CNR Legarda Road & Cariño Street, 2600 Baguio"
La Union,CCA Theater,Theater,16.417733,120.597541,
La Union,Nano's,Concert Hall,16.659834,120.321869,"2514 San Juan, La Union"
La Union,Camp John Hay Amphitheatre,Amphitheater,16.3991,120.617599,"2600 Lungsod ng Baguio, Baguio City"
Samar,Tia Anita's New Venue,Event Space,11.777544,124.883415,"2/F, Mabini Avenue, 6700 Catbalogan, Samar"
Agusan del Norte,Martin D. Media Production,Music Venue,8.944421,125.540221,"Montilla Boulevard, 8600 Lungsod ng Butuan"
Agusan del Norte,Dona Ynez Events Venue,Event Space,8.943817,125.505033,8600 Lungsod ng Butuan
Agusan del Norte,Loreta Venue & Resto,Filipino Restaurant,9.12829,125.544716,"Km. 1 Pan-Philippine Highway, 8605 Cabadbaran, Agusan del Norte"
Agusan del Norte,Loreta Venue and Restaurant,Filipino Restaurant,9.128364,125.54475,"Km1 Pan-Philippine Highway, 8605 Cabadbaran, Agusan del Sur"
Ilocos Sur,UNP-University Science Club,Music Venue,17.561792,120.38193,"2700 Lungsod ng Vigan, Ilocos Sur"
Ilocos Sur,Vigan City Convention Center,Concert Hall,17.566159,120.386328,2700 Vigan
Aklan,Terranova,Concert Hall,11.712001,122.384909,
Antique,MJDG/MaryJaneDeGracia Music Studio,Performing Arts Venue,10.744304,121.942225,"Del Pilar Street, 5700 San Jose, Antique"
Ilocos Norte,Music Town,Music Venue,18.180046,120.590826,
Ilocos Norte,Kalipi Training Center,Concert Hall,18.064143,120.559581,
Sarangani,Music City Family KTV,Music Venue,6.119219,125.183016,"Suncity Suites Complex, General Santos, General Santos City"
Sarangani,Austroplus,Jazz and Blues Venue,6.11645,125.18096,"at San Miguel Street & Santiago Blvd., 9500 General Santos, General Santos City"
Sarangani,HTC College Ground,Performing Arts Venue,6.11295,125.168514,"at Daproza Avenue, 9500 General Santos, General Santos City"
Sarangani,General Santos City Gymnasium,Performing Arts Venue,6.130193,125.183555,"at San Pedro St, 9500 General Santos, General Santos City"
Sarangani,Music Play,Karaoke Bar,6.119098,125.172578,"National Highway (Pan-Philippine Highway), 9500 General Santos, General Santos City"
Sarangani,iSing KTV,Concert Hall,6.114463,125.169167,
Sarangani,The Event Center,Convention Center,6.116292,125.181223,"at San Miguel St., 9500 General Santos, General Santos City"
Sarangani,Emerald Room,Hotel Bar,6.109289,125.170592,
Sarangani,Venue Ameliya's,Wedding Hall,6.112134,125.174955,"41 Naranjita Street, 9500 General Santos"
Sarangani,kalilangan Festival Venue,Landmarks and Outdoors,6.117514,125.173751,8718 Kalilangan
Surigao del Norte,Provincial Convention Center,Performing Arts Venue,9.787799,125.492319,
Occidental Mindoro,Sablayan Convention Center,Performing Arts Venue,12.861501,120.788823,5104 Sablayan
Nueva Vizcaya,AudioEmpire Studio,Music Venue,16.384632,121.103536,"100 P. Zamora, 3702 Bambang, Nueva Vizcaya"
Eastern Samar,Luis Capito Cultural Stage,Theater,11.60787,125.4326,"6800 Borongan, Silangang Samar"
Aurora,Aloha Boardsports & Travel Factor Surf & Music Festival,Music Venue,15.764911,121.566142,"3200 Baler, Aurora"
Ifugao,Friends Country Music Bar,Concert Hall,16.917231,121.057959,3601 Banaue
Guimaras,The Venue,Bar,10.70444,122.550733,"5000 Iloilo City, Iloilo"
Guimaras,Lumpiga Acoustic Bar and Resto,Music Venue,10.701001,122.564929,"12 Gen. Luna Street, 6100 Iloilo City, Iloilo"
Guimaras,Usacom,Music Venue,10.698791,122.562037,"5000 Iloilo City, Iloilo"
Guimaras,Tiesto,Music Venue,10.702554,122.551145,"Boardwalk Avenue, 5000 Iloilo City, Iloilo"
Guimaras,Room 9 M02 Annex,Music Venue,10.704833,122.551028,
Guimaras,MO2 Annex,Music Venue,10.705117,122.550705,
Guimaras,Street side,Music Venue,10.705605,122.552678,
Guimaras,District 21 KTV,Music Venue,10.706619,122.552727,"Diversion Road, 5000 Iloilo City, Iloilo"
Guimaras,Musikous Jam And Rehearsal Studio,Music Venue,10.731152,122.552823,"Cornercabangbang & lopez jaena Street (cabangbang), 5000 Iloilo City, Iloilo"
Guimaras,The Mellow Mangrove,Bar,10.700688,122.558323,"5000 Iloilo City, Iloilo"
Mountain Province,Friends Country Music Bar,Concert Hall,16.917231,121.057959,3601 Banaue
Dinagat Islands,Provincial Convention Center,Performing Arts Venue,9.787799,125.492319,
Siquijor,Watever Family KTV,Karaoke Bar,9.310311,123.308649,"Silliman Avenue, 6200 Dumaguete, Negros Oriental"
Siquijor,Convention Center Hall,Theater,9.312844,123.299792,6200 Dumaguete
Camiguin,Langob KTV Bar,Karaoke Bar,9.250046,124.715879,"Rizal Street, 9100 Mambajao, Camiguin"
Philippines,Peers Studio,Music Venue,14.196295,120.876769,4100 Cavite
Philippines,Trabiesa,Performing Arts Venue,14.112523,120.915486,"4120 Tagaytay, Cavite"
Philippines,Bistroville Food Park,Music Venue,14.115286,120.962117,"4120 Tagaytay, Cavite"
Philippines,Imagine,Music Venue,14.30204,120.95384,"4114 Dasmariñas, Cavite"
Philippines,Marikafe Bar & Resto,Music Venue,14.394025,120.969785,"93 Avenida Rizal St. BPS, 4013 Bacoor, Cavite"
Philippines,"Music Lounge, Pico de Loro Country Club",Music Venue,14.193165,120.602308,Batangas
Philippines,Eldar's Tent,Performing Arts Venue,14.282086,121.094473,"2703 Santa, Laguna"
Philippines,Uno Cinco Music Studio,Music Venue,14.243137,121.113432,"4026 Cabuyao, Laguna"
Philippines,Fraeon's Room,Music Venue,14.428805,120.881142,4105
Philippines,OLMB Band Hall,Music Venue,14.404983,120.977025,4100 Cavite
